DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
Shipibo-Conibo	1046	SHUT	shut	cerrar	fechar
Shipibo-Conibo	606	GRASS	grass	hierba, pasto	grama
Shipibo-Conibo	1575	COCKROACH	cockroach	cucaracha	barata
Shipibo-Conibo	1228	EARTH (SOIL)	earth (soil)	tierra	terra (solo)
Shipibo-Conibo	737	LIGHT (IGNITE)	light (ignite)	encender	acender, atear
Shipibo-Conibo	549	COPULATE	copulate	tener relaciones sexuales	ter relações sexuais
Shipibo-Conibo	1761	YOUNGER SISTER	younger sister	hermana menor	irmã mais nova
Shipibo-Conibo	1543	SNAIL	snail	caracol	lesma
Shipibo-Conibo	320	LAME	lame	lisiado	coxo
Shipibo-Conibo	706	DARK	dark	oscuro	escuro
Shipibo-Conibo	1234	SMOOTH	smooth	suave, liso	liso, macio
Shipibo-Conibo	1564	LAZY	lazy	perezoso	preguiçoso
Shipibo-Conibo	1500	FOUR	four	cuatro	quatro
Shipibo-Conibo	297	CROOKED	crooked	torcido	torcido, torto
Shipibo-Conibo	705	GO UP (ASCEND)	go up (ascend)	subir	subir
Shipibo-Conibo	1456	THROW	throw	tirar	jogar
Shipibo-Conibo	162	HICCOUGH	hiccough	tener hipo	soluço
Shipibo-Conibo	1961	NECKLACE	necklace	collar	colar
Shipibo-Conibo	1075	TRAP (PITFALL)	trap (pitfall)	trampa	cilada, armadilha
Shipibo-Conibo	213	SHAVE	shave	aleta	nadadeira
Shipibo-Conibo	1735	TEAR (SHRED)	tear (shred)	romper, rasgar	romper, rasgar
Shipibo-Conibo	2017	MIX	mix	mezclar, mixturar	misturar, mexer
Shipibo-Conibo	2272	HOT OR WARM	hot or warm	caliente	quente
Shipibo-Conibo	857	STONE	stone	piedra	pedra
Shipibo-Conibo	2457	PATH OR ROAD	path or road	camino, sendero, trocha	CAMINHO
Shipibo-Conibo	1491	MOUSE	mouse	ratón	camundongo
Shipibo-Conibo	1490	RAT	rat	rata	RATO
Shipibo-Conibo	639	MOUNTAIN	mountain	montaña	serra
Shipibo-Conibo	614	HILL	hill	colina	
Shipibo-Conibo	1253	RAIN (RAINING)	rain (raining)		
Shipibo-Conibo	2108	RAINING OR RAIN	raining or rain	lluvia	
Shipibo-Conibo	1827	HARVEST CROPS	harvest crops	recoger	
Shipibo-Conibo	1844	BOAT	boat	bote	canoa
Shipibo-Conibo	2468	BAG	bag	bolso	
Shipibo-Conibo	388	FISHNET	fishnet	red, atarraya	rede de pesca
Shipibo-Conibo	2638	FISHING	fishing	pescar	pescar
Shipibo-Conibo	1170	TRAP (CATCH)	trap (catch)	atrapar	armar uma cilada, pegar em armadilha
Shipibo-Conibo	3320	SNARE (TRAP)	snare (trap)		
Shipibo-Conibo	2319	LID (COVER, CAP)	lid (cover, cap)		
Shipibo-Conibo	1195	GIVE BIRTH	give birth		parir
Shipibo-Conibo	3020	BREAK (BREAKING)	break (breaking)		quebrar(-se) / romper(-se)
Shipibo-Conibo	719	FIND	find	encontrar, hallar	achar, encontrar
Shipibo-Conibo	1341	HEAT UP	heat up	calentar	
Shipibo-Conibo	1433	HIT	hit	golpear	bater
Shipibo-Conibo	3452	MUCH	much		
Shipibo-Conibo	699	SAD	sad	triste	TRISTE (ZA)
Shipibo-Conibo	2327	BECOME SICK	become sick		
Shipibo-Conibo	2493	BOIL	boil	hervir	
Shipibo-Conibo	1407	BREATHE	breathe	respirar	respirar
Shipibo-Conibo	2531	BROAD	broad	ancho	
Shipibo-Conibo	2102	BURN	burn	quemar, arder	queimar
Shipibo-Conibo	1494	DIE	die	morir	morrer
Shipibo-Conibo	423	GET LOST	get lost		PERDER-SE
Shipibo-Conibo	1175	GHOST	ghost	fantasma	fantasma
Shipibo-Conibo	2019	HAMMOCK	hammock	hamaca, chinchorro	rede
Shipibo-Conibo	612	HEAT	heat		
Shipibo-Conibo	3347	HIGH OR UP	high or up		
Shipibo-Conibo	999	JOINT	joint	Articulaciones	
Shipibo-Conibo	2506	LOOSE	loose	suelto	
Shipibo-Conibo	1531	BRANCH	branch	rama	galho
Shipibo-Conibo	2334	MELT	melt	derretir	
Shipibo-Conibo	505	PARENTS	parents	padres	pais
Shipibo-Conibo	371	PICK UP	pick up	recoger	captar
Shipibo-Conibo	1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)
Shipibo-Conibo	785	STRONG	strong	fuerte	FORTE
Shipibo-Conibo	78	THAT	that	eso, ese, aquel	esse
Shipibo-Conibo	2308	THIN	thin	delgado	fino
Shipibo-Conibo	124	THORN	thorn	ESPINA	espinho
Shipibo-Conibo	25	DIRT	dirt	suciedad	
Shipibo-Conibo	2159	GROUND	ground		
Shipibo-Conibo	3603	EARTH OR LAND	earth or land		TERRA / PAÍS
Shipibo-Conibo	2296	SUNRISE	sunrise	amanecer	
Shipibo-Conibo	2295	SUNSET	sunset	puesta de sol	
Shipibo-Conibo	666	RIVER	river	río	rio
Shipibo-Conibo	3463	RIVERBANK	riverbank		
Shipibo-Conibo	2341	CLOUDY	cloudy		
Shipibo-Conibo	2324	GET WET	get wet		
Shipibo-Conibo	2069	SOAK (VERB)	soak (verb)		
Shipibo-Conibo	143	HUMID	humid		
Shipibo-Conibo	119	DIVE	dive	zambullirse	mergulhar
Shipibo-Conibo	1786	DRY UP	dry up	secar	secar
Shipibo-Conibo	2015	MAKE DRY	make dry		
Shipibo-Conibo	2297	DUSK	dusk	oscuridad	
Shipibo-Conibo	1422	BE ALIVE	be alive	vivo	vivo
Shipibo-Conibo	1625	DEAD	dead		morto
Shipibo-Conibo	2907	ROT	rot		
Shipibo-Conibo	3287	BLOOM	bloom		
Shipibo-Conibo	1803	WOOD	wood	madera	madeira
Shipibo-Conibo	593	POTATO	potato	patata	batata
Shipibo-Conibo	66	KNEEL	kneel	arrodillarse	ajoelhar
Shipibo-Conibo	675	FAECES (EXCREMENT)	faeces (excrement)		fezes
Shipibo-Conibo	1836	VAGINA	vagina	Vagina	vagina
Shipibo-Conibo	1837	VULVA	vulva	vulva	órgão sexual feminino
Shipibo-Conibo	1142	URINE	urine	orina	urina
Shipibo-Conibo	1251	BELLY	belly	vientre, barriga	barriga
Shipibo-Conibo	1334	GUTS	guts	tripas	vísceras
Shipibo-Conibo	2613	SKIN (HUMAN)	skin (human)		
Shipibo-Conibo	2486	HIDE	hide		ESCONDER
Shipibo-Conibo	2614	SKIN (ANIMAL)	skin (animal)		
Shipibo-Conibo	3923	FEMALE ANIMAL	female animal		
Shipibo-Conibo	2106	MALE PERSON	male person	varón, macho	
Shipibo-Conibo	3924	MALE ANIMAL	male animal		
Shipibo-Conibo	3609	TOWN OR VILLAGE	town or village		cidade pequena ou vila
Shipibo-Conibo	3780	PET	pet	mascota	
Shipibo-Conibo	232	FLEA	flea	pulga	pulga
Shipibo-Conibo	1250	JAGUAR	jaguar	tigre	onça pintada
Shipibo-Conibo	2390	PECCARY	peccary		
Shipibo-Conibo	1986	DISEASE	disease	enfermedad (dolencia)	
Shipibo-Conibo	1129	PAINFUL	painful		
Shipibo-Conibo	2561	HURT (SENSE PAIN)	hurt (sense pain)		
Shipibo-Conibo	2411	HURT (SOMEBODY)	hurt (somebody)	herir	
Shipibo-Conibo	2409	BROWN	brown	Gris	
Shipibo-Conibo	377	LOUD	loud	ruidoso	ruidoso, barulhento
Shipibo-Conibo	3883	NOISY	noisy		
Shipibo-Conibo	1182	NOISE	noise	ruido	
