ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss
1_dust,dust,2,DUST,polvo
2_fill,fill,2006,FILL,llenar
3_gather,gather,7,GATHER,"colectar, reunir, compilar, recopilar"
4_firewood,firewood,10,FIREWOOD,leña
5_darkness,darkness,11,DARKNESS,"oscuridad, tinieblas"
6_spreadout,spread out,38,SPREAD OUT,"extender, esparcir"
7_stinking,stinking,42,STINKING,"apestando, apestoso"
8_besilent,be silent,48,BE SILENT,callarse
9_shiver,shiver,52,SHIVER,temblar
10_kneel,kneel,66,KNEEL,arrodillarse
11_claw,claw,72,CLAW,"garra, pezuña, pinza, zarpa"
12_youngman,young man,76,YOUNG MAN,"muchacho, jóven"
13_youngwoman,young woman,77,YOUNG WOMAN,"muchacha, jóven mujer"
14_all,all,98,ALL,todo
15_turtle,turtle,112,TURTLE,"tortuga, motelo"
16_dive,dive,119,DIVE,"sumergirse, zambullirse"
17_spin,spin,121,SPIN,hilar
18_forehead,forehead,123,FOREHEAD,frente (la)
19_thorn,thorn,124,THORN,espina
20_extinguish,extinguish,127,EXTINGUISH,apagar
21_weave,weave,133,WEAVE,tejer
22_here,here,136,HERE,"aquí, acá"
23_bathe,bathe,138,BATHE,bañarse
24_burnsomething,burn (something),141,BURN (SOMETHING),"quemar, quemarse"
25_red,red,156,RED,rojo
26_sweetpotatoyam,"sweet potato, yam",159,SWEET POTATO,"camote, papa dulce"
27_black,black,163,BLACK,negro
28_rest,rest,168,REST,descansar
29_blowofwind,blow (of wind),175,BLOW (OF WIND),soplar
30_ripe,ripe,178,RIPE,maduro
31_hairbody,hair (body),189,HAIR (BODY),"pelo, vello (del cuerpo)"
32_marry,marry,203,MARRY,casarse
33_nasalmucussnot,nasal mucus (snot),208,NASAL MUCUS (SNOT),moco
34_field,field,212,FIELD,"chacra, campo"
35_stretch,stretch,214,STRETCH,"tender, alargar, estirar"
36_liedown,lie down,215,LIE DOWN,"acostarse, echarse"
37_fire,fire,221,FIRE,fuego
38_fish,fish,227,FISH,"pez, pescado"
39_flower,flower,239,FLOWER,flor
40_left,left,244,LEFT,izquierdo
41_fog,fog,249,FOG,"niebla, neblina"
42_sharpensomething,sharpen (something),251,SHARPEN (SOMETHING),afilar
43_food,food,256,FOOD,comida
44_peel,peel,275,PEEL,pelar
45_crooked,crooked,297,CROOKED,torcido
46_chieftain,chieftain,301,CHIEFTAIN,"jefe, cacique"
47_hawk,hawk,307,HAWK,halcón
48_footprint,footprint,318,FOOTPRINT,huella
49_lick,lick,319,LICK,lamer
50_chew,chew,321,CHEW,masticar
51_fatorganicsubstance,fat (organic substance),323,FAT (ORGANIC SUBSTANCE),grasa
52_untie,untie,352,UNTIE,desatar
53_fanaction,fan (action),360,FAN (ACTION),"abanicar, aventar"
54_pickup,pick up,371,PICK UP,recoger
55_pinch,pinch,378,PINCH,pellizcar
56_wrinkled,wrinkled,380,WRINKLED,arrugado
57_alcoholfermenteddrink,alcohol (fermented drink),404,ALCOHOL (FERMENTED DRINK),bebida fermentada
58_oldman,old man,406,OLD MAN,"anciano, hombre viejo"
59_forest,forest,420,FOREST,"monte, selva"
60_getlost,get lost,423,GET LOST,perderse
61_upperlegthigh,upper leg (thigh),471,UPPER LEG (THIGH),muslo
62_lip,lip,478,LIP,labio
63_grow,grow,479,GROW,crecer
64_kidney,kidney,489,KIDNEY,riñón
65_three,three,492,THREE,tres
66_cure,cure,499,CURE,curar
67_lift,lift,501,LIFT,levantar
68_frog,frog,503,FROG,rana
69_maize,maize,506,MAIZE,maíz
70_nest,nest,539,NEST,nido
71_copulate,copulate,549,COPULATE,"tener relaciones sexuales, tener sexo"
72_comeback,come back,581,COME BACK,"volver, regresar"
73_ant,ant,587,ANT,hormiga
74_naked,naked,590,NAKED,desnudo
75_piss,piss,592,PISS,orinar
76_potato,potato,593,POTATO,papa
77_liemislead,lie (mislead),601,LIE (MISLEAD),mentir
78_hideconceal,hide (conceal),602,HIDE (CONCEAL),esconder (algo)
79_grass,grass,606,GRASS,"pasto, hierba"
80_animal,animal,619,ANIMAL,animal
81_lake,lake,624,LAKE,lago
82_leaf,leaf,628,LEAF,hoja de árbol
83_lightradiation,light (radiation),630,LIGHT (RADIATION),luz
84_lizard,lizard,632,LIZARD,lagartija
85_meat,meat,634,MEAT,carne
86_milk,milk,635,MILK,leche
87_mountain,mountain,639,MOUNTAIN,"montaña, cerro"
88_mud,mud,640,MUD,lodo
89_ash,ash,646,ASH,cenizas
90_plain,plain,652,PLAIN,llanura
91_rainprecipitation,rain (precipitation),658,RAIN (PRECIPITATION),lluvia
92_bee,bee,665,BEE,abeja
93_river,river,666,RIVER,río
94_root,root,670,ROOT,ráiz
95_sand,sand,671,SAND,arena
96_mouth,mouth,674,MOUTH,boca
97_shitdefecate,shit (defecate),676,SHIT (DEFECATE),defecar
98_axe,axe,677,AXE,hacha
99_beard,beard,678,BEARD,barba
100_bright,bright,679,BRIGHT,"brillante, resplandor"
101_breakdestroyorgetdestroyed,break (destroy or get destroyed),680,BREAK (DESTROY OR GET DESTROYED),romper
102_side,side,682,SIDE,"lado, costado"
103_person,person,683,PERSON,"persona, ser humano"
104_lung,lung,688,LUNG,pulmón
105_between,between,689,BETWEEN,entre
106_bring,bring,692,BRING,traer
107_get,get,694,GET,"recibir, obtener"
108_go,go,695,GO,ir
109_carry,carry,700,CARRY,cargar
110_clean,clean,704,CLEAN,limpio
111_goupascend,go up (ascend),705,GO UP (ASCEND),subir
112_dark,dark,706,DARK,oscuro
113_remember,remember,707,REMEMBER,recordar
114_shine,shine,708,SHINE,brillar
115_steal,steal,713,STEAL,robar
116_seed,seed,714,SEED,semilla
117_shout,shout,715,SHOUT,gritar
118_sweet,sweet,717,SWEET,dulce
119_find,find,719,FIND,"encontrar, hallar"
120_first,first,728,FIRST,primero
121_dawn,dawn,729,DAWN,"albor, amanecer, aurora, madrugada"
122_snake,snake,730,SNAKE,serpiente
123_beverage,beverage,731,BEVERAGE,bebida
124_owl,owl,735,OWL,lechuza
125_lightignite,light (ignite),737,LIGHT (IGNITE),encender
126_thing,thing,738,THING,cosa
127_egg,egg,744,EGG,huevo
128_enter,enter,749,ENTER,entrar
129_cover,cover,761,COVER,cubrir
130_outside,outside,762,OUTSIDE,"afuera, fuera, exterior"
131_skin,skin,763,SKIN,"piel, cutis, pellejo"
132_move,move,765,MOVE,mover
133_roof,roof,769,ROOF,techo
134_belt,belt,772,BELT,"cinturón, faja"
135_flute,flute,777,FLUTE,flauta
136_smokeexhaust,smoke (exhaust),778,SMOKE (EXHAUST),humo
137_fearfright,fear (fright),781,FEAR (FRIGHT),miedo
138_testicles,testicles,797,TESTICLES,testículo
139_jaw,jaw,798,JAW,mandíbula
140_rib,rib,801,RIB,costilla
141_blanket,blanket,806,BLANKET,manta
142_soul,soul,811,SOUL,alma
143_half,half,816,HALF,mitad
144_they,they,817,THEY,"ellos, ellas"
145_stomach,stomach,819,STOMACH,estómago
146_roll,roll,827,ROLL,"rodar, arrollar, enrollar"
147_buttocks,buttocks,834,BUTTOCKS,"nalgas, trasero"
148_blue,blue,837,BLUE,azul
149_spider,spider,843,SPIDER,araña
150_seize,seize,855,SEIZE,embargar
151_stone,stone,857,STONE,piedra
152_pumpkin,pumpkin,864,PUMPKIN,"zapallo, calabaza, calabazo"
153_cough,cough,879,COUGH,toser
154_parrot,parrot,882,PARROT,papagayo
155_bitter,bitter,887,BITTER,amargo
156_swallow,swallow,897,SWALLOW,tragar
157_tree,tree,906,TREE,árbol
158_oldwoman,old woman,907,OLD WOMAN,mujer vieja
159_drum,drum,908,DRUM,tambor
160_chilipepper,chili pepper,919,CHILI PEPPER,ají
161_love,love,923,LOVE,querer
162_cassava,cassava,925,CASSAVA,yuca
163_embrace,embrace,928,EMBRACE,abrazar
164_bird,bird,937,BIRD,"pájaro, ave"
165_honey,honey,942,HONEY,miel
166_blood,blood,946,BLOOD,sangre
167_water,water,948,WATER,agua
168_flee,flee,956,FLEE,huir
169_wind,wind,960,WIND,viento 
170_woman,woman,962,WOMAN,mujer
171_tobacco,tobacco,974,TOBACCO,tabaco
172_arrow,arrow,977,ARROW,flecha
173_heel,heel,980,HEEL,talón
174_elbow,elbow,981,ELBOW,codo
175_bow,bow,994,BOW,arco
176_deaf,deaf,996,DEAF,sordo
177_put,put,998,PUT,poner
178_bridge,bridge,1011,BRIDGE,puente
179_right,right,1019,RIGHT,derecho
180_whistle,whistle,1025,WHISTLE,"silbar, chiflar"
181_grind,grind,1033,GRIND,moler
182_good,good,1035,GOOD,bueno
183_increase,increase,1041,INCREASE,"aumentar, crecer"
184_shut,shut,1046,SHUT,cerrar
185_pursue,pursue,1047,PURSUE,perseguir
186_call,call,1084,CALL,llamar
187_lightweight,light (weight),1052,LIGHT (WEIGHT),"liviano, ligero (que pesa poco)"
188_trappitfall,trap (pitfall),1075,TRAP (PITFALL),trampa
189_follow,follow,1085,FOLLOW,seguir
190_workactivity,work (activity),1086,WORK (ACTIVITY),trabajar
191_beborn,be born,1090,BE BORN,nacer
192_fasten,fasten,1094,FASTEN,amarrar
193_cooksomething,cook (something),1100,COOK (SOMETHING),cocinar
194_goout,go out,1107,GO OUT,salir
195_wound,wound,1109,WOUND,"herida, llaga"
196_send,send,1127,SEND,"enviar, mandar"
197_orphan,orphan,1149,ORPHAN,"huérfano, huérfana"
198_thunder,thunder,1150,THUNDER,trueno
199_open,open,1156,OPEN,abrir
200_because,because,1157,BECAUSE,porque
201_fart,fart,1159,FART,pedo
202_thread,thread,1161,THREAD,hilo
203_trapcatch,trap (catch),1170,TRAP (CATCH),atrapar
204_shoot,shoot,1172,SHOOT,"disparar, tirar"
205_eyebrow,eyebrow,1173,EYEBROW,ceja
206_yesterday,yesterday,1174,YESTERDAY,ayer
207_ghost,ghost,1175,GHOST,"fantasma, espíritu"
208_palmofhand,palm of hand,1183,PALM OF HAND,palma de la mano
209_vulture,vulture,1185,VULTURE,buitre
210_charcoal,charcoal,1188,CHARCOAL,carbón
