CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	CONCEPT	DOCULECT
38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	abeso	Matís
1019	RIGHT	right	derecho	direito	abiu	Matís
1489	CLOUD	cloud	nubes quietas	nuvem	abu	Matís
1732	SKY	sky	cielo	céu	abu	Matís
57	ATOP	atop		sobre	abuk	Matís
1401	DRINK	drink	tomar, beber	beber, tomar	ak	Matís
1417	KILL	kill	matar	matar	ak	Matís
1660	LOSE	lose	perder		amawa	Matís
244	LEFT	left	izquierdo	esquerdo	amenuk	Matís
1202	BIG	big	grande (sg.)	ser grande	amɨ, tßɨ	Matís
1307	LANGUAGE	language	lengua, idioma	língua (idioma)	ana	Matís
1624	EMPTY	empty	vacío	vazio	andadawid	Matís
1216	MOTHER	mother	mamá	mãe	ani	Matís
1405	NAME	name	nombre	nome	anɨ	Matís
1485	BELOW OR UNDER	below or under	debajo	embaixo de	anpiduk	Matís
2638	FISHING	fishing	pescar	pescar	anudan	Matís
925	CASSAVA	cassava	yuca	tapioca	atsa	Matís
98	ALL	all	todos	tudo, todo	atßuwɨß	Matís
1199	WIFE	wife	marida, esposa	esposa, mulher	awin	Matís
1269	NO	no	no, negativo	não, negativo	bama	Matís
855	SEIZE	seize	embargar	pegar	bed	Matís
1517	WASP	wasp	avispa	vespa	binsin	Matís
1523	FORGET	forget	olvidar	esquecer-se	bɨama	Matís
1035	GOOD	good	bueno	bom	bɨda	Matís
692	BRING	bring	traer	trazer	bɨden	Matís
1248	EYE	eye	ojo	olho	bɨdu	Matís
1200	HUSBAND	husband	marido, esposo	marido	bɨnɨ	Matís
700	CARRY	carry	va a cargar	levar	bowan	Matís
189	HAIR (BODY)	hair (body)	vello (del cuerpo)	cabelo, pêlo	bu	Matís
2014	GO DOWN (DESCEND)	go down (descend)	descender	descer, baixar	bud	Matís
76	YOUNG MAN	young man	el joven	rapaz	buntak	Matís
1759	OLDER BROTHER	older brother	hermano mayor	irmão mais velho	butʃi	Matís
1242	FEW	few	pocos	poucos	dabɨtsɨk	Matís
1554	MAN	man	varón, hombre	homem	dada	Matís
1480	BODY	body	cuerpo	corpo	dada	Matís
1733	RAINBOW	rainbow	arcoiris	arco-í­ris	dadamɨka?	Matís
1229	OLD	old	viejo	velho	dadasibo	Matís
1672	WRITE	write	escribir	escrever	dadawa	Matís
1419	FEAR (BE AFRAID)	fear (be afraid)	tiene miedo	ter medo	dakud	Matís
1371	KNEE	knee	rodilla	joelho	danbɨdu	Matís
1895	CLOTHES	clothes	ropa	roupa	datonkete	Matís
1355	LAUGH	laugh	reír	rir	den	Matís
2019	HAMMOCK	hammock	hamaca, chinchorro	rede	di	Matís
1432	CUT	cut	cortar	cortar	dɨd	Matís
705	GO UP (ASCEND)	go up (ascend)	subir	subir	do	Matís
730	SNAKE	snake	víbora	cobra	dunu	Matís
749	ENTER	enter	entrar	entrar	edkin	Matís
1493	ONE	one	uno	um, uma	epapa	Matís
1580	ONLY	only	solo, solamente	só, somente	epapa	Matís
946	BLOOD	blood	sangre	sangue	imi	Matís
1233	NIGHT	night	toda la noche	noite	imɨd	Matís
1220	TAIL	tail	cola/rabo	rabo	ina	Matís
1339	MORNING	morning	mañana	manhã	intßɨßmantsɨk	Matís
1819	LOOK	look	mirar, contemplar	olhar para, fitar	is	Matís
2248	KNOW (SOMEBODY)	know (somebody)			istan	Matís
1602	WAKE UP	wake up	despertarse	acordar	isukun	Matís
2272	HOT OR WARM	hot or warm	caliente	quente	itis	Matís
612	HEAT	heat			itis	Matís
906	TREE	tree	árbol	árvore	iwi	Matís
1210	HEAVY	heavy	pesado	pesado	iwɨ	Matís
478	LIP	lip	labio	lábios	ɨkßak	Matís
1621	SNEEZE	sneeze	estornudar	espirrar	ɨktißun	Matís
1425	GREEN	green	verde (color)	verde	ɨmu	Matís
714	SEED	seed	semilla	semente	ɨßɨ	Matís
1250	JAGUAR	jaguar	tigre	onça pintada	kamun	Matís
1443	WALK	walk	caminar, andar	andar, caminhar	kapo	Matís
1435	HUNT	hunt	cazar	caçar	kapo	Matís
1291	BACK	back	espalda	costas	kaßuku	Matís
641	MUSHROOM	mushroom	seta	cogumelo	katsu	Matís
1198	MANY	many	muchos	muitos	kimo	Matís
1667	HOLE	hole	agujero	buraco	kini	Matís
297	CROOKED	crooked	torcido	torcido, torto	kodo	Matís
1100	COOK (SOMETHING)	cook (something)	cocinar	cozinhar	kodoka	Matís
1107	GO OUT	go out	salir	sair	ku	Matís
52	SHIVER	shiver	temblar	tremer	ku, takaßke	Matís
1408	HEAR	hear	oír	ouvir	kuak	Matís
695	GO	go	se fue	ir	kuan	Matís
1398	DRY	dry	seco	seco	kudu	Matís
678	BEARD	beard	barba	barba	kuißakete	Matís
141	BURN (SOMETHING)	burn (something)	quemar, quemarse	queimar, incendiar	kuke	Matís
212	FIELD	field	roza, sementera	roça	maɨ	Matís
2374	DREAM	dream	sueño	SONHO / SONHAR	manak	Matís
1583	BRAIN	brain	cerebro, sesos	cérebro, miolos	mapi	Matís
671	SAND	sand	arena	areia	masi	Matís
2648	HAIR (HEAD)	hair (head)	cabello, pelo	cabelo	maßakete	Matís
857	STONE	stone	piedra	pedra	maßaß, meko	Matís
1760	YOUNGER BROTHER	younger brother	hermano menor	irmão mais novo	maßku	Matís
1256	HEAD	head	cabeza	cabeça	maßo	Matís
907	OLD WOMAN	old woman	viejita	velha	matßo	Matís
3653	COOKING POT	cooking pot	olla, paila	panela	matsu	Matís
632	LIZARD	lizard	lagartija	lagarto	maud	Matís
1149	ORPHAN	orphan	huérfano/ huérfana	órfão/órfã	mena	Matís
1447	GIVE	give	dar	dar	mene	Matís
1571	SELL	sell	vender	vender	mene	Matís
10	FIREWOOD	firewood	leña	lenha	mente	Matís
2017	MIX	mix	mezclar, mixturar	misturar, mexer	miß	Matís
1937	THERE	there	allí	lá	mɨduk	Matís
1277	HAND	hand	mano	mão	mɨkan	Matís
493	FIVE	five	cinco	cinco	mɨkan atßuwiß ted	Matís
492	THREE	three	tres	três	mɨkan tan ted	Matís
1500	FOUR	four	cuatro	quatro	mɨkan ted	Matís
2102	BURN	burn	quemar, arder	queimar	mɨßte	Matís
1258	FINGERNAIL	fingernail	uña	unha	mɨtis	Matís
420	FOREST	forest	selva	floresta, mata	moßo	Matís
1879	DANCE	dance	bailar	dançar	munud	Matís
1920	DREAM (SOMETHING)	dream (something)	soñar	sonhar	namaka	Matís
2615	FLESH OR MEAT	flesh or meat	carne	carne	nami	Matís
1625	DEAD	dead		morto	nano	Matís
1413	PLAY	play	jugar	jogar, brincar	ne	Matís
138	BATHE	bathe	bañarse	tomar banho	neskin	Matís
1838	NAVEL	navel	ombligo	umbigo	nik	Matís
1448	HOLD	hold	tener (en mano), apoyar	segurar, agarrar	nim tɨdin	Matís
136	HERE	here	aquí	aqui	nɨ	Matís
1376	NOW	now	ahora	agora	nɨbi kimo	Matís
78	THAT	that	eso, ese, aquel	esse	nɨkid	Matís
1261	SING	sing	cantar	cantar	nowa	Matís
1970	CANOE	canoe	canoa, curiara	canoa	nunte	Matís
1623	SPEAK	speak	hablar	falar (palavras)	onke	Matís
1280	FALL	fall	caer	cair	padkɨd, pakad	Matís
1393	HORN (ANATOMY)	horn (anatomy)	cuerno	chifre, corno	pais	Matís
945	SPEAR	spear	lanza	lança	paka	Matís
593	POTATO	potato	patata	batata	papa	Matís
1304	CHILD (YOUNG HUMAN)	child (young human)	niño	criança, menino	papi	Matís
1246	SMALL	small	pequeño	pequeno	papitsɨk, tuku	Matís
1247	EAR	ear	oreja	orelha	papußan	Matís
1231	NEW	new	nuevo	novo	paßa	Matís
1864	HUNGER	hunger	hambre	fome	pekas	Matís
256	FOOD	food	pizza	alimento	pete	Matís
1063	NEPHEW	nephew	sobrino	sobrinho	piak	Matís
1728	ROTTEN	rotten	podrido	podre	pisi	Matís
1961	NECKLACE	necklace	collar	colar	piskaden	Matís
1793	BAT	bat	murciélago	morcego	pɨwɨn	Matís
680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	romper, quebrar	podkɨmɨd	Matís
1673	ARM	arm	brazo	braço	podo	Matís
675	FAECES (EXCREMENT)	faeces (excrement)		fezes	pui	Matís
1185	VULTURE	vulture	buitre	urubu, abutre	puikun	Matís
1251	BELLY	belly	vientre, barriga	barriga	puk	Matís
1539	BASKET	basket	cesto, canasto, canasta	cesto, cesta	sapa	Matís
